负责人	学校名称	世界排名	学院	专业名称	学制	总学费（当地货币）	申请起止日	语言要求	是否需要GRE	是否有面试	是否要作品集/writing sample/essay
				景观设计研究生文凭	一年	198,000港币	第一轮：9.16~10.22 第二轮：10.23~次年1.2 第三轮：次年1.6~4.13	"雅思：总分6，小分5.5 托福：总分95以上，小分23	否	有	需要
				建筑资产数字化管理硕士	一年	280，080港币	9.10~次年1.2	雅思：总分6，小分5.5 托福：总分80以上	否	入学考试	
				城市研究和住房管理硕士	一年	226，000港币	第一轮：9.1~10.22 第二轮：10.23~次年1.2 第三轮：次年1.13~次年2.2	雅思：总分6，小分5.5 托福：总分80以上	否	有	
				高级建筑设计理学硕士	一年	262，500港币	1月入学： 第一轮：5.12-9.2 第二轮：9.3~9.29 第三轮：9.30~11.3 9月入学 次年1.6~次年4.10	雅思：总分6，小分5.5 托福：总分80以上	否	有	需要
				数字城市管理硕士	一年	288，000港币	第一轮：9.1~10.22 第二轮10.23~次年1.2	雅思：总分6，小分5.5 托福：总分80以上	否	入学考试	需要
			教育学院	对外英语教学硕士	一年	234，000港币	11.21~12.22	雅思：总分7，小分6.5 托福：总分94，写作25	否	有	
				教育学硕士	一年	234，000港币	11.3~次年1.30	雅思：总分6.5，小分6 托福：总分93	否	有	
				听力学理学硕士	二年	224,000港币	12.2~次年4.2	雅思：总分6，小分5.5 托福：总分80以上	否	有	
				学习技术、设计和领导力硕士	一年	234，000港币	12.1~次年1.30	雅思：总分6，小分5.5 托福：总分80以上	否	有	
				图书馆和信息管理理学硕士	一年	234，000港币	12.1~次年1.30	雅思：总分6，小分5.5 托福：总分80以上	否	有	
				香教育学研究生文凭	一年	224，000港币	10.28~11.28 11.29~次年2.27	雅思：总分6，小分5.5 托福：总分80以上	否	有	
				教育学研究生文凭（中文作为第二语言的教学）	一年	249，000港币	10.28~次年1.5  次年1.6~次年3.31	雅思：总分6，小分5.5 托福：总分80以上	否	有	
			气候与碳中和研究生	气候治理与风险管理硕士	一年	360，000港币	11.3~11.28 12.19~次年2.23 次年2.24~次年3.31	雅思：总分6，小分5.5 托福：总分80以上	加分项，不强求	有	
			文学院	应用语言学硕士	一年	263200港币	9.25~12.29 12.30~次年2.24	雅思：总分7，小分5.5 托福：总分80，写作25	否	有	
				语言学硕士	一年	270，400港币	9.25~次年3.31	雅思：总分7，小分5.5 托福：总分80，写作25	否	有	
				艺术史硕士	一年	292，000港币	10.2~12.31 次年1.1~3.2 次年3.3~5.4	雅思：总分7，小分5.5 托福：总分80，写作25	否	有	需要
				英语研究硕士	一年	263，200港币	9.25~11.28 11.29~次年3.20	雅思：总分7，小分5.5 托福：总分80，写作25	否	有	需要
				文学和文化研究硕士	一年	263，200港币	9.29~次年1.2 次年1.13~3.27	雅思：总分7，小分5.5 托福：总分80，写作25	否	有	
				中国语言和文学硕士	一年	229，000港币	9.25~次年1.29 次年1.30~4.30	雅思：总分7，小分5.5 托福：总分80，写作25	否	有	
				创意传播硕士	一年	292，000港币	9.25~11.28 11.29~次年3.20	雅思：总分7，小分5.5 托福：总分80，写作25	否	有	需要
				香港历史硕士	一年	240，000港币	9.25~次年5.5	雅思：总分7，小分5.5 托福：总分80，写作25	否	有	
				音乐研究硕士	一年	270，400港币	9.25~次年4.30	雅思：总分7，小分5.5 托福：总分80，写作25	否	有	需要
				佛教心理咨询硕士	一年	181,280港币	9.25~次年2.27	"雅思：总分6，小分5.5 托福：总分80，写作25"	否	有	
				佛学研究硕士	一年	175，200港币	9.25~12.12 12.13~次年2.27	"雅思：总分6，小分5.5 托福：总分80，写作25"	否	有	
				英语创意写作艺术硕士	一年	307，800港币	9.25~11.28 11.29~次年3.20	雅思：总分7，小分5.5 托福：总分80，写作25	否	有	需要
				博物馆研究硕士	一年	300，000港币	9.25~次年5.15	雅思：总分7，小分5.5 托福：总分80，写作25	否	有	
				中国历史研究硕士	一年	229，000港币	9.25~次年2.2 2.3~次年4.30	雅思：总分7，小分5.5 托福：总分80，写作25	否	有	
				人工智能、伦理与社会硕士	一年	283，400港币	9.25~次年1.23 次年1.24~4.30 次年5.1~次年6.30	雅思：总分7，小分5.5 托福：总分80，写作25	否	有	
				翻译硕士	一年	222，000港币	9.25~次年2.2 次年2.3~4.30	雅思：总分7，小分6 托福：总分80，写作25	否	有	
				哲学、政治学和经济学硕士	一年	283，400港币	9.25~次年1.23 次年1.24~4.30 次年5.1~6.30	雅思：总分7，小分5.5 托福：总分80，写作25	否	有	
			法学院	普通法硕士	一年	220，000港币	11.3~12.12 12.13~次年2.27	雅思：总分7 托福：总分100	否	无	
				仲裁和争端解决法律硕士	一年	220，000港币	11.3~12.12 12.13~次年2.27	雅思：总分7 托福：总分100	否	无	
